"lang	form	an3_notflat	n3	"
"CMUDict10000	CBXtNfo1 VBYuNvo1 CTXlLvo1 CTXsNfo1	-14.9783413422	-14.9985126009	"
"CMUDict10000	CBXtNfo1 VAYuNvo1 CTXlLvo1 CTXtNfo1	-13.3426652194	-13.3938529742	"
"CMUDict10000	CBXtNfo1 VAYuNvo1 CTXlLvo1 CTXsNfo1	-14.6305857525	-14.7094772461	"
"CMUDict10000	CBXtNfo1 VEYuNvo1 CTXmNvn1 CTXtNfo1	-11.1050584307	-11.0824154742	"
"CMUDict10000	CBXtNfo1 VEYuNvo1 CTXmNvn1 CTXsNfo1	-12.1843176627	-12.1822064674	"
"CMUDict10000	CBXtNfo1 VBYuNvo1 CTXmNvn1 CTXtNfo1	-9.63143654624	-9.66400555168	"
"CMUDict10000	CBXtNfo1 VBYuNvo1 CTXmNvn1 CTXsNfo1	-11.2485578628	-11.3063095258	"
"CMUDict10000	CBXtNfo1 VAYuNvo1 CTXmNvn1 CTXtNfo1	-10.5760855431	-10.5781077831	"
"CMUDict10000	CBXtNfo1 VAYuNvo1 CTXmNvn1 CTXsNfo1	-11.0950790929	-11.1179062451	"
"CMUDict10000	CTXtNfo1 VBYuNvo1 CTXtNfo1	-9.66678520417	-9.75606196942	"
"CMUDict10000	CTXtNfo1 VBYuNvo1 CKXtNfo1	-8.53346218528	-8.54682721103	"
"CMUDict10000	CTXtNfo1 VBYuNvo1 CTXsNfo1	-9.83600463106	-9.84490286977	"
"CMUDict10000	CTXtNfo1 VBYuNvo1 CBXmNvn1	-10.8565751101	-10.928292708	"
"CMUDict10000	CTXtNfo1 VBYuNvo1 CTXmNvn1	-9.99980077757	-10.0374428367	"
"CMUDict10000	CTXtNfo1 VBYuNvo1 CTXlLvo1	-9.201542536	-9.21417307875	"
"CMUDict10000	CTXtNfo1 VBYuNvo1 CTXrNvo1	-10.1127837235	-10.1188919972	"
"CMUDict10000	CTXtNfo1 VAYuNvo1 CTXtNfo1	-10.8214761407	-10.7033290971	"
"CMUDict10000	CTXtNfo1 VAYuNvo1 CKXtNfo1	-10.181106096	-10.1954930052	"
"CMUDict10000	CTXtNfo1 VAYuNvo1 CTXsNfo1	-10.7609365644	-11.0667923824	"
"CMUDict10000	CTXtNfo1 VAYuNvo1 CBXmNvn1	-10.0996758593	-10.1863814104	"
"CMUDict10000	CTXtNfo1 VAYuNvo1 CTXmNvn1	-9.78286774126	-9.74838003561	"
"CMUDict10000	CTXtNfo1 VAYuNvo1 CTXlLvo1	-12.1412561308	-12.1559586349	"
"CMUDict10000	CTXtNfo1 VBYuNvo1 CTXlLvo1 CTXtNfo1	-11.9338703959	-11.9593817103	"
"CMUDict10000	CTXtNfo1 VBYuNvo1 CTXlLvo1 CTXsNfo1	-14.4898372518	-14.5432733555	"
"CMUDict10000	CTXtNfo1 VAYuNvo1 CTXlLvo1 CTXtNfo1	-13.9016338945	-13.9072257266	"
"CMUDict10000	CTXtNfo1 VAYuNvo1 CTXlLvo1 CTXsNfo1	-15.1895544361	-15.2228499985	"
"CMUDict10000	CTXtNfo1 VBYuNvo1 CTXmNvn1 CTXtNfo1	-10.1766717535	-10.1797824905	"
"CMUDict10000	CTXtNfo1 VBYuNvo1 CTXmNvn1 CTXsNfo1	-11.7937930717	-11.8220864646	"
"CMUDict10000	CTXtNfo1 VAYuNvo1 CTXmNvn1 CTXtNfo1	-11.0465158106	-10.999810267	"
"CMUDict10000	CTXtNfo1 VAYuNvo1 CTXmNvn1 CTXsNfo1	-11.5655093596	-11.5396087291	"
"CMUDict10000	CTXtNvo1 VBYuNvo1 CTXtNfo1	-9.13706496418	-9.16260815858	"
"CMUDict10000	CTXtNvo1 VBYuNvo1 CKXtNfo1	-9.07176179324	-9.16371685922	"
"CMUDict10000	CTXtNvo1 VBYuNvo1 CTXsNfo1	-9.43422020723	-9.42441132652	"
"CMUDict10000	CTXtNvo1 VBYuNvo1 CBXmNvn1	-10.3774328252	-10.4608639288	"
"CMUDict10000	CTXtNvo1 VBYuNvo1 CTXmNvn1	-10.0040939709	-10.1213779377	"
"CMUDict10000	CTXtNvo1 VBYuNvo1 CTXlLvo1	-8.53019228758	-8.56429614162	"
"CMUDict10000	CTXtNvo1 VBYuNvo1 CTXrNvo1	-9.99901213522	-9.93951887882	"
"CMUDict10000	CTXtNvo1 VAYuNvo1 CTXtNfo1	-11.7112278543	-11.4864067317	"
"CMUDict10000	CTXtNvo1 VAYuNvo1 CKXtNfo1	-10.7090071984	-10.1074047515	"
"CMUDict10000	CTXtNvo1 VAYuNvo1 CTXsNfo1	-10.7553975309	-11.3037306159	"
"CMUDict10000	CTXtNvo1 VAYuNvo1 CBXmNvn1	-9.60114983222	-10.0153724418	"
"CMUDict10000	CTXtNvo1 VAYuNvo1 CTXmNvn1	-9.34143842536	-9.57938386429	"
"CMUDict10000	CTXtNvo1 VAYuNvo1 CTXlLvo1	-12.6385398953	-12.461132435	"
"CMUDict10000	CTXtNvo1 VBYuNvo1 CTXlLvo1 CTXtNfo1	-11.2625201474	-11.3095047731	"
"CMUDict10000	CTXtNvo1 VBYuNvo1 CTXlLvo1 CTXsNfo1	-13.8184870034	-13.8933964183	"
"CMUDict10000	CTXtNvo1 VAYuNvo1 CTXlLvo1 CTXtNfo1	-14.3989176591	-14.2123995267	"
"CMUDict10000	CTXtNvo1 VAYuNvo1 CTXlLvo1 CTXsNfo1	-15.6868382006	-15.5280237986	"
"CMUDict10000	CTXtNvo1 VBYuNvo1 CTXmNvn1 CTXtNfo1	-10.1809649468	-10.2637175915	"
"CMUDict10000	CTXtNvo1 VBYuNvo1 CTXmNvn1 CTXsNfo1	-11.798086265	-11.9060215656	"
"CMUDict10000	CTXtNvo1 VAYuNvo1 CTXmNvn1 CTXtNfo1	-10.6050864947	-10.8308140957	"
"CMUDict10000	CTXtNvo1 VAYuNvo1 CTXmNvn1 CTXsNfo1	-11.1240800437	-11.3706125577	"
"CMUDict10000	CKXtNfo1 VEYuNvo1 CTXtNfo1	-10.5240759455	-10.6753510889	"
"CMUDict10000	CKXtNfo1 VEYuNvo1 CKXtNfo1	-10.6870887784	-10.8738277323	"
"CMUDict10000	CKXtNfo1 VEYuNvo1 CTXsNfo1	-10.595943314	-10.4548114943	"
"CMUDict10000	CKXtNfo1 VEYuNvo1 CBXmNvn1	-10.8534516902	-10.9646281278	"
"CMUDict10000	CKXtNfo1 VEYuNvo1 CTXmNvn1	-8.50964128677	-8.51731193422	"
"CMUDict10000	CKXtNfo1 VEYuNvo1 CTXlLvo1	-9.47002951224	-9.53373270333	"
"CMUDict10000	CKXtNfo1 VEYuNvo1 CTXrNvo1	-10.9858716882	-11.428898327	"
"CMUDict10000	CKXtNfo1 VBYuNvo1 CTXtNfo1	-8.30561499305	-8.34069963026	"
"CMUDict10000	CKXtNfo1 VBYuNvo1 CKXtNfo1	-11.566212681	-12.0573718977	"
"CMUDict10000	CKXtNfo1 VBYuNvo1 CTXsNfo1	-11.190566803	-10.9660611171	"
"CMUDict10000	CKXtNfo1 VBYuNvo1 CBXmNvn1	-10.9425780739	-11.0223275146	"
"CMUDict10000	CKXtNfo1 VBYuNvo1 CTXmNvn1	-10.1796080089	-10.283322149	"
"CMUDict10000	CKXtNfo1 VBYuNvo1 CTXlLvo1	-9.17927463394	-9.18420415054	"
"CMUDict10000	CKXtNfo1 VBYuNvo1 CTXrNvo1	-9.51515970579	-9.51966013815	"
"CMUDict10000	CKXtNfo1 VAYuNvo1 CTXtNfo1	-8.95062603572	-9.03135912565	"
"CMUDict10000	CKXtNfo1 VAYuNvo1 CKXtNfo1	-11.4392236554	-10.6044812447	"
"CMUDict10000	CKXtNfo1 VAYuNvo1 CTXsNfo1	-9.00283234839	-9.19077590495	"
"CMUDict10000	CKXtNfo1 VAYuNvo1 CBXmNvn1	-8.98619214992	-9.08763563544	"
"CMUDict10000	CKXtNfo1 VAYuNvo1 CTXmNvn1	-8.64034419439	-8.65544053189	"
"CMUDict10000	CKXtNfo1 VAYuNvo1 CTXlLvo1	-9.8218140277	-9.93643179236	"
"CMUDict10000	CKXtNfo1 VEYuNvo1 CTXrNvo1 CTXtNfo1	-14.3926624389	-14.7876755647	"
"CMUDict10000	CKXtNfo1 VEYuNvo1 CTXrNvo1 CKXtNfo1	-18.386596818	-18.8309977395	"
"CMUDict10000	CKXtNfo1 VEYuNvo1 CTXrNvo1 CTXsNfo1	-15.9965444274	-16.4818364839	"
"CMUDict10000	CKXtNfo1 VEYuNvo1 CTXlLvo1 CTXtNfo1	-13.5664575976	-13.6477069601	"
"CMUDict10000	CKXtNfo1 VEYuNvo1 CTXlLvo1 CTXsNfo1	-15.6277533006	-15.7568419626	"
"CMUDict10000	CKXtNfo1 VBYuNvo1 CTXlLvo1 CTXtNfo1	-11.9116025456	-11.9294127821	"
"CMUDict10000	CKXtNfo1 VBYuNvo1 CTXlLvo1 CTXsNfo1	-14.4675693836	-14.5133044273	"
"CMUDict10000	CKXtNfo1 VAYuNvo1 CTXlLvo1 CTXtNfo1	-11.5821920254	-11.6876988841	"
"CMUDict10000	CKXtNfo1 VAYuNvo1 CTXlLvo1 CTXsNfo1	-12.8701124122	-13.003323156	"
"CMUDict10000	CKXtNfo1 VEYuNvo1 CTXmNvn1 CTXtNfo1	-10.5018075294	-10.4965237229	"
"CMUDict10000	CKXtNfo1 VEYuNvo1 CTXmNvn1 CTXsNfo1	-11.5810667614	-11.5963147162	"
"CMUDict10000	CKXtNfo1 VBYuNvo1 CTXmNvn1 CTXtNfo1	-10.3564789826	-10.4256618028	"
"CMUDict10000	CKXtNfo1 VBYuNvo1 CTXmNvn1 CTXsNfo1	-11.9736002997	-12.0679657769	"
"CMUDict10000	CKXtNfo1 VAYuNvo1 CTXmNvn1 CTXtNfo1	-9.90399226055	-9.9068707633	"
"CMUDict10000	CKXtNfo1 VAYuNvo1 CTXmNvn1 CTXsNfo1	-10.4229858111	-10.4466692254	"
"CMUDict10000	CTXsNfo1 VEYuNvo1 CTXtNfo1	-8.90265870192	-8.93350652282	"
"CMUDict10000	CTXsNfo1 VEYuNvo1 CKXtNfo1	-8.50167702065	-8.52885559833	"
"CMUDict10000	CTXsNfo1 VEYuNvo1 CTXsNfo1	-9.58557554645	-9.54822109584	"
